timestamp_ms,baro_temp_c,baro_pressure_pa,baro_rel_alt_lpf_m,baro_age_ms,baro_ready,M1,M2,M3,M4,ekf_pwm_mean,motor_output_allowed,motor_on_detected,flight_mode,ekf_ready,ekf_pos_n,ekf_pos_e,ekf_pos_d,ekf_vel_d,ekf_pos_n_std_m,ekf_pos_e_std_m,ekf_vel_n_std_mps,ekf_vel_e_std_mps,gnss_age_ms,gnss_hacc_m,gnss_vacc_m,gnss_sacc_mps,gnss_hacc_var_m2,gnss_vacc_var_m2,gnss_sacc_var_m2ps2,gnss_pos_cov_valid,gnss_vel_cov_valid,gnss_pos_cov_n_m2,gnss_pos_cov_e_m2,gnss_pos_cov_d_m2,gnss_vel_cov_n_m2ps2,gnss_vel_cov_e_m2ps2,gnss_vel_cov_d_m2ps2,gnss_pos_n_m,gnss_pos_e_m,gnss_pos_d_m,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,roll_deg,pitch_deg,yaw_deg,imu_yaw_deg,yaw_des_deg,yaw_err_deg,yaw_rate_sp_deg_s,roll_rate_deg_s,pitch_rate_deg_s,yaw_rate_deg_s,roll_rate_output,pitch_rate_output,yaw_rate_output,motor_sat_flags,baro_innov_m,baro_test_ratio,baro_update_used,baro_rejected,vel_ctrl_active,vel_sp_n_mps,vel_sp_e_mps,vel_filt_n_mps,vel_filt_e_mps,vel_err_n_mps,vel_err_e_mps,roll_des_slew_deg,pitch_des_slew_deg,pos_hold_latched,pos_sp_n_m,pos_sp_e_m,pos_err_n_m,pos_err_e_m,alt_ctrl_enabled,alt_ctrl_allowed,alt_ctrl_active,alt_hold_latched,alt_ctrl_block_reason,alt_sp_m,alt_meas_m,vel_up_mps,alt_err_m,vel_err_mps,alt_p_term_us,alt_d_term_us,alt_i_term_us,alt_throttle_corr_us,alt_throttle_corr_sat,alt_base_pwm_us,alt_cmd_pwm_us,alt_base_pwm_latched
7782,27.792171,100436.8984,-0.05,20,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,2,1.06,2.363,0.125,1.1236,5.58377,0.015625,1,1,1.5,0.003386,0.512465,-0.520625,0.001281,0.014168,0,0,0,0.022,0.002,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7889,27.793064,100438.1016,-0.03,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,109,1.06,2.363,0.125,1.1236,5.58377,0.015625,1,1,1.5,0.003386,0.512465,-0.520625,0.001281,0.014168,0,0,0,0.022,0.002,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7992,27.797129,100438.3047,-0.02,19,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,86,1.047,2.334,0.121,1.096209,5.447556,0.014641,1,1,1.5,0.001873,0.498649,-0.504957,0.001305,0.014253,0,0,0,-0.006,-0.011,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8078,27.79641,100436.3984,-0.01,21,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,48,1.035,2.307,0.125,1.071225,5.32225,0.015625,1,1,1.5,0.000557,0.485936,-0.490265,0.001377,0.014665,0,0,0,0.005,0.019,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8183,27.793047,100435.7031,0.01,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,30,1.023,2.281,0.126,1.046529,5.202961,0.015876,1,1,1.5,-0.000831,0.473733,-0.476976,0.001377,0.01475,0,0,0,0.004,-0.009,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8288,27.794186,100437.2031,0.02,20,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,8,1.011,2.256,0.124,1.022121,5.089536,0.015376,1,1,1.5,-0.00193,0.462227,-0.464861,0.001413,0.014548,0,0,0,0.013,-0.007,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8395,27.797953,100436.8047,0.03,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,115,1.011,2.256,0.124,1.022121,5.089536,0.015376,1,1,1.5,-0.00193,0.462227,-0.464861,0.001413,0.014548,0,0,0,0.013,-0.007,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480,27.800947,100437.3984,0.02,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,68,1,2.231,0.124,1,4.977362,0.015376,1,1,1.5,-0.003126,0.451097,-0.453576,0.001413,0.014543,0,0,0,0.003,0.008,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8584,27.796095,100436.2031,0.02,19,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,53,0.99,2.207,0.129,0.9801,4.870849,0.016641,1,1,1.5,-0.004481,0.440634,-0.443654,0.001413,0.014544,0,0,0,0.002,-0.005,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8691,27.796743,100437.1016,0.03,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,38,0.98,2.184,0.131,0.9604,4.769856,0.017161,1,1,1.5,-0.005703,0.430668,-0.434228,0.001411,0.014543,0,0,0,0.013,0.008,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
